name,description,category,activity_type,city,min_budget,max_budget,min_people,max_people,indoor,outdoor,score_base,address,latitude,longitude,is_free,external_url,image_url
Complejo de Bowling Unicenter,Pistas de bowling en el shopping Unicenter. Ideal para grupos. Alquiler de zapatos incluido.,Entretenimiento,gaming,Buenos Aires,3500,6000,2,8,true,false,78,Paraná 3745 Martínez,-34.4983,-58.5086,no,,
La Doite Laser Tag,Juego de laser tag en arena techada con equipos profesionales. Partidas de 15 minutos en equipos de 4 a 8 jugadores.,Entretenimiento,gaming,Buenos Aires,2500,4000,4,16,true,false,82,Av. Corrientes 3247 Buenos Aires,-34.6028,-58.4109,no,,
Distrito Jeu — Café de Juegos de Mesa,Bar con más de 400 juegos de mesa disponibles. Podés pedir comida y quedarte horas jugando.,Entretenimiento,gaming,Buenos Aires,1500,3000,2,6,true,false,85,Thames 1702 Palermo,-34.5891,-58.4322,no,,
Mundos del Juego,Espacio de juegos de mesa y rol con torneos regulares. También venden juegos y ofrecen talleres de rol.,Entretenimiento,gaming,Buenos Aires,1200,2500,1,8,true,false,80,Av. Corrientes 1555 Buenos Aires,-34.6041,-58.3936,no,,
El Escape Rooms BA,Escape room con 6 salas temáticas de dificultad variable. Duración 60 minutos por sala. Reserva previa.,Entretenimiento,gaming,Buenos Aires,4000,8000,2,6,true,false,88,Av. Santa Fe 2260 Recoleta,-34.5904,-58.3980,no,,
Trapped BA — Escape Room,Escape rooms inmersivos con escenografías cinematográficas. Temáticas de terror y aventura.,Entretenimiento,gaming,Buenos Aires,4500,9000,2,6,true,false,86,Av. Corrientes 4318 Almagro,-34.6055,-58.4250,no,,
Padel Club Palermo,Canchas de padel techadas disponibles por hora. Se puede alquilar raquetas en el lugar.,Deporte,sports,Buenos Aires,4000,8000,4,4,false,true,80,Av. del Libertador 4502 Palermo,-34.5745,-58.4189,no,,
Polideportivo Parque Chacabuco,"Complejo deportivo municipal con canchas de fútbol, básquet, natación y gimnasio. Precio social.",Deporte,sports,Buenos Aires,500,1500,1,22,true,true,75,Av. Pedro Lozano 3700 Parque Chacabuco,-34.6415,-58.4413,no,,
Rock Climbing BA — Centro de Escalada,Gimnasio de escalada indoor con paredes de hasta 15 metros. Clases para principiantes y circuitos para avanzados.,Deporte,sports,Buenos Aires,3000,5000,1,4,true,false,83,Av. Warnes 2600 Villa del Parque,-34.6074,-58.4771,no,,
iFly Buenos Aires — Túnel de Viento,Vuelo indoor en túnel de viento vertical. Experiencia de caída libre sin paracaídas. Desde 5 minutos.,Entretenimiento,sports,Buenos Aires,8000,15000,1,6,true,false,92,Av. del Libertador 6800 Núñez,-34.5485,-58.4516,no,,
Karting La Rural,Karting indoor en pista de asfalto. Karts de distintas categorías. Cronometraje electrónico.,Entretenimiento,sports,Buenos Aires,5000,9000,1,12,true,false,84,Av. Sarmiento 2704 Palermo,-34.5803,-58.4156,no,,
Arcade Retro Gaming Bar,Bar arcade con más de 60 máquinas clásicas de los 80/90 + cócteles temáticos. Sin cargo extra por las máquinas.,Entretenimiento,gaming,Buenos Aires,2000,5000,1,4,true,false,90,Perú 541 San Telmo,-34.6173,-58.3716,no,,
Bingo Lavalle,Bingo tradicional en sala amplia y climatizada. Partidas continuas durante todo el día.,Entretenimiento,gaming,Buenos Aires,1000,3000,1,10,true,false,65,Av. Corrientes 2222 Buenos Aires,-34.6042,-58.4018,no,,
Squash Club BA,Canchas de squash disponibles por hora en el centro de Buenos Aires. Alquiler de raquetas.,Deporte,sports,Buenos Aires,3500,6000,2,2,true,false,72,Av. 9 de Julio 1100 Buenos Aires,-34.6113,-58.3835,no,,
Tiro Federal Argentino — Paintball,Canchas de paintball al aire libre en el predio del Tiro Federal. Equipamiento completo incluido.,Deporte,sports,Buenos Aires,6000,12000,6,20,false,true,86,Av. del Libertador 1395 Núñez,-34.5477,-58.4598,no,,
Bowl & Fun Puerto Madero,Bowling + pool tables + ping pong frente al dique de Puerto Madero. Vista al agua.,Entretenimiento,gaming,Buenos Aires,4000,8000,2,8,true,false,80,Av. Alicia Moreau de Justo 1190 Puerto Madero,-34.6134,-58.3614,no,,
La Tribu Cultural — Juegos de Rol,Espacio cultural con sesiones regulares de rol (D&D y otros sistemas). También juegos de mesa y cartas.,Entretenimiento,gaming,Buenos Aires,800,2000,3,8,true,false,77,Av. Corrientes 1551 Buenos Aires,-34.6041,-58.3936,no,,
Pileta Municipal Dr. Gachantón,Natación pública en pileta municipal cubierta. Turnos diurnos y vespertinos disponibles.,Deporte,sports,Buenos Aires,400,800,1,20,true,false,70,Uspallata 3400 Nueva Pompeya,-34.6542,-58.4213,no,,
Virtual Arena VR — Realidad Virtual,Centro de realidad virtual con experiencias multijugador. Más de 30 juegos disponibles. Sesiones de 30 minutos.,Entretenimiento,gaming,Buenos Aires,4500,7000,1,6,true,false,88,Av. Santa Fe 1750 Recoleta,-34.5944,-58.3925,no,,
Skate Park Parque Avellaneda,Skate park outdoor con módulos de todo nivel. Entrada gratuita. Va gente toda la tarde y los fines de semana.,Deporte,sports,Buenos Aires,0,0,1,30,false,true,72,Av. Directorio 4360 Parque Avellaneda,-34.6481,-58.4674,si,,
