name,description,category,activity_type,city,min_budget,max_budget,min_people,max_people,indoor,outdoor,score_base,address,latitude,longitude,is_free,external_url,image_url
Cine Gaumont,Complejo de cine del INCAA con estrenos nacionales e internacionales a precio popular. Tres salas en el centro de Buenos Aires.,Cine,cinema,Buenos Aires,600,1200,1,200,true,false,82,Av. Rivadavia 1635 Congreso,-34.6098,-58.3917,no,,
Cine Lorca,Cine arte con programación de cine independiente argentino y latinoamericano. Debates post-función los jueves.,Cine,cinema,Buenos Aires,800,1500,1,100,true,false,80,Av. Corrientes 1428 San Nicolás,-34.6040,-58.3880,no,,
Cine Cosmos,Clásico cine de Buenos Aires con programación de autor y ciclos temáticos. Muy popular entre cinéfilos.,Cine,cinema,Buenos Aires,900,1600,1,120,true,false,78,Av. Corrientes 2046 Balvanera,-34.6050,-58.4030,no,,
Centro Cultural San Martín — Cine,Ciclos de cine gratuitos en el Centro Cultural San Martín. Programación variada con filmes históricos y de arte.,Cine,cinema,Buenos Aires,0,0,1,200,true,false,75,Sarmiento 1551 San Nicolás,-34.6038,-58.3853,si,,
El Cine Bar,Cine-bar en Villa Crespo con proyecciones de culto los fines de semana. Podés tomar algo mientras mirás la película.,Cine,cinema,Buenos Aires,1500,3000,1,60,true,false,83,Murillo 725 Villa Crespo,-34.5987,-58.4398,no,,
Club del Vino — Shows en Vivo,"Espacio de música en vivo en Palermo con capacidad para 200 personas. Grilla variada: jazz, folklore, rock nacional.",Música,concert,Buenos Aires,2000,6000,1,8,true,false,86,Cabrera 4737 Palermo,-34.5918,-58.4248,no,,
El Emergente — Música en Vivo,Bar con escenario para artistas emergentes. Shows nocturnos de miércoles a domingo. Buena acústica y ambiente íntimo.,Música,concert,Buenos Aires,1000,3000,1,6,true,false,80,Thames 1820 Palermo,-34.5886,-58.4318,no,,
La Tangente — Jazz y Blues,Espacio de jazz y blues en Villa Crespo. Shows nocturnos en vivo los jueves y viernes. Ambiente de club.,Música,concert,Buenos Aires,1500,4000,1,6,true,false,82,Honduras 5317 Villa Crespo,-34.5934,-58.4388,no,,
Niceto Club,Club histórico de Palermo con shows de música electrónica y rock los fines de semana. Ambiente festivo.,Música,concert,Buenos Aires,3000,7000,1,10,true,false,84,Niceto Vega 5510 Palermo,-34.5880,-58.4372,no,,
Teatro Colón — Visita Guiada,Recorrido guiado por el Teatro Colón. Acceso a la sala principal y camarines históricos. Disponible en español e inglés.,Cultura,tourism,Buenos Aires,2000,4000,1,30,true,false,90,Cerrito 618 San Nicolás,-34.6011,-58.3833,no,,
Centro Cultural Recoleta,Centro cultural con exposiciones de arte contemporáneo argentino. Entrada gratuita a la mayoría de las muestras. Jardín de esculturas.,Cultura,museum,Buenos Aires,0,500,1,100,true,true,83,Junín 1930 Recoleta,-34.5879,-58.3917,si,,
Centro Cultural Kirchner,El centro cultural más grande de Latinoamérica. Muestras de arte e instalaciones interactivas en una estructura art nouveau impresionante.,Cultura,museum,Buenos Aires,0,0,1,500,true,false,90,Sarmiento 151 Microcentro,-34.6076,-58.3701,si,,
Usina del Arte,Espacio cultural en La Boca con conciertos de música clásica y jazz en un edificio industrial reciclado impresionante. Buena acústica.,Música,concert,Buenos Aires,0,2000,1,500,true,false,87,Agustín R. Caffarena 1 La Boca,-34.6307,-58.3657,si,,
BAFICI — Cine Independiente,Festival Buenos Aires de Cine Independiente. Proyecciones en múltiples sedes durante abril. Acreditación por sala o pack de películas.,Cine,cinema,Buenos Aires,0,500,1,300,true,false,88,Múltiples sedes BA,-34.6037,-58.3816,si,,
Cinemark Palermo — IMAX,Complejo de cine Cinemark con sala IMAX y 3D. Últimas películas de estreno en formato premium. Snacks y cómodas butacas.,Cine,cinema,Buenos Aires,2000,4500,1,6,true,false,79,Beruti 3399 Palermo,-34.5869,-58.3996,no,,
Luna Park — Recitales,Estadio cubierto histórico para grandes conciertos y espectáculos. Capacidad para 8000 personas.,Música,concert,Buenos Aires,3000,15000,1,4,true,false,88,Bouchard 465 Puerto Madero,-34.6028,-58.3685,no,,
Casa Brandon — Cultura Independiente,Espacio cultural independiente en Villa Crespo con teatro experimental y música en vivo. Muy buena onda.,Cultura,concert,Buenos Aires,800,2500,1,80,true,false,77,Luis María Drago 236 Villa Crespo,-34.6030,-58.4410,no,,
Tortoni — Jazz y Tango,Mítico café con shows de tango y jazz en vivo en su salón principal. Histórico desde 1858. Imperdible.,Cultura,concert,Buenos Aires,2000,5000,1,6,true,false,88,Av. de Mayo 825 Montserrat,-34.6084,-58.3785,no,,
Planetario de Buenos Aires — Noche de estrellas,Observación de estrellas los viernes y sábados con telescopios del Planetario. Se ven los anillos de Saturno en buenas condiciones.,Cultura,tourism,Buenos Aires,0,400,1,30,false,true,85,Av. Sarmiento 2601 Palermo,-34.5712,-58.4127,si,,
La Casa del Teatro — Obra,Casa histórica con ciclos de teatro independiente de calidad. Patio interior para las funciones de verano. Ambiente muy especial.,Cultura,concert,Buenos Aires,1000,3000,1,8,true,true,79,Av. Santa Fe 1243 Recoleta,-34.5948,-58.3884,no,,
